deliveryDate,deliveryHour,deliveryInterval,settlementPoint,settlementPointType,settlementPointPrice,DSTFlag
2026-01-02,20,3,HB_SOUTH,HU,17.0,False
2026-01-02,20,4,HB_SOUTH,HU,16.7,False
2026-01-02,21,1,HB_SOUTH,HU,16.51,False
2026-01-02,21,2,HB_SOUTH,HU,16.13,False
2026-01-02,21,3,HB_SOUTH,HU,16.16,False
2026-01-02,21,4,HB_SOUTH,HU,16.19,False
2026-01-02,22,1,HB_SOUTH,HU,16.17,False
2026-01-02,22,2,HB_SOUTH,HU,16.04,False
2026-01-02,22,3,HB_SOUTH,HU,15.67,False
2026-01-02,22,4,HB_SOUTH,HU,15.0,False
2026-01-02,23,1,HB_SOUTH,HU,15.21,False
2026-01-02,23,2,HB_SOUTH,HU,15.78,False
2026-01-02,23,3,HB_SOUTH,HU,15.35,False
2026-01-02,23,4,HB_SOUTH,HU,14.63,False
2026-01-02,24,1,HB_SOUTH,HU,13.77,False
2026-01-02,24,2,HB_SOUTH,HU,13.45,False
